pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,sig_type,category,tp_display,sl_display,session,has_lowvol,has_breakeven,has_trailing,max_bars,avg_hold_min,pnl_tokyo,trades_tokyo,pnl_london,trades_london,pnl_newyork,trades_newyork
0.9462,47.02,2.55,0.0,-0.83,168.6,285,11,8,-0.0029,1.0663,hilo_break_6e9a7225,GBPJPY,M1,hilo_break,breakout,ATR×1.5,ATR×1.0,london,True,True,False,30,2.8,-2.2,74,1.37,211,0.0,0
0.8484,47.67,3.56,0.0,-3.07,101.9,472,8,7,-0.0065,0.9314,bb_bounce_fcd02c1f,GBPJPY,M1,bb_bounce,mean_reversion,15p,15p,london,True,True,True,0,1.7,0.66,90,-3.74,382,0.0,0
0.7512,45.45,19.65,0.02,-19.11,60.8,2409,11,9,-0.0079,0.9015,momentum_68dac049,GBPJPY,M1,momentum,trend_follow,5p,5p,newyork,False,True,True,15,1.0,0.0,0,-3.34,789,-15.77,1620
0.8204,46.51,3.61,0.0,-2.92,74.5,458,11,6,-0.0064,0.9436,bb_bounce_571dfa9d,GBPJPY,M1,bb_bounce,mean_reversion,10p,10p,london,True,False,True,60,1.2,1.07,95,-3.99,363,0.0,0
0.809,46.77,41.26,0.04,-40.1,71.6,6012,15,12,-0.0067,0.9206,wick_reversal_bb185ba3,GBPJPY,M1,wick_reversal,mean_reversion,10p,10p,newyork,False,False,True,30,1.2,0.0,0,-9.25,2012,-30.85,4000
0.8552,44.52,1.59,0.0,-1.59,74.9,310,17,5,-0.0051,1.0659,bb_bounce_4ca3160b,GBPJPY,M1,bb_bounce,mean_reversion,15p,7p,london,True,True,True,30,1.2,0.02,63,-1.62,247,0.0,0
0.702,44.59,9.37,0.01,-9.29,60.4,933,9,9,-0.01,0.8724,bb_bounce_3eb340d4,GBPJPY,M1,bb_bounce,mean_reversion,5p,5p,london,False,False,True,30,1.0,-1.47,196,-7.82,737,0.0,0
0.7813,55.83,3.62,0.0,-2.19,234.5,163,4,6,-0.0134,0.6182,donchian_break_960704c6,GBPJPY,M1,donchian_break,breakout,ATR×3.0,ATR×1.5,newyork,True,True,True,15,3.9,0.0,0,0.09,69,-2.28,94
0.7491,47.4,11.91,0.01,-10.37,63.8,1249,9,13,-0.0083,0.8313,momentum_e6896ce1,GBPJPY,M1,momentum,trend_follow,5p,10p,london,True,False,False,60,1.1,-2.22,284,-8.14,965,0.0,0
0.7886,43.27,8.39,0.01,-8.18,69.5,1130,11,9,-0.0072,1.0337,consecutive_reversal_493665ac,GBPJPY,M1,consecutive_reversal,mean_reversion,15p,5p,newyork,False,False,True,30,1.2,0.0,0,-2.54,365,-5.64,765
0.7702,35.44,2.18,0.0,-1.28,270.4,79,6,4,-0.0163,1.4029,atr_break_590f7ba6,GBPJPY,M1,atr_break,breakout,ATR×2.0,ATR×1.0,newyork,False,False,True,15,4.5,0.0,0,-0.01,28,-1.27,51
0.7881,40.05,13.55,0.01,-13.44,82.1,1688,11,8,-0.008,1.1798,rsi_reversal_425f7bc2,GBPJPY,M1,rsi_reversal,mean_reversion,20p,7p,london,True,False,True,30,1.4,-1.03,355,-12.4,1333,0.0,0
