pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,sig,tp,sl,sess,lv,be,trail,mb,ab_period,ab_mult,hold_m,hl_lb,hl_cb,bb_p,bb_std
0.8062,43.75,1.5,0.0,-1.08,221.2,96,9,6,-0.0113,1.0365,bb_bounce_28afa0ca,GBPJPY,bb_bounce,A×2.5,A×1.0,newyork,True,True,False,60,,,3.7,,,20.0,2.5
0.8797,37.04,10.46,0.01,-6.67,626.7,621,11,8,-0.0107,1.4956,bb_bounce_a262a48d,GBPJPY,bb_bounce,A×4.0,A×1.5,newyork,True,False,True,60,,,10.4,,,30.0,1.5
0.9316,54.53,5.93,0.01,-3.25,303.1,783,6,9,-0.0042,0.7767,bb_bounce_c3a3c0a0,GBPJPY,bb_bounce,A×3.0,A×1.5,newyork,True,True,True,30,,,5.1,,,25.0,1.5
0.8412,52.99,7.15,0.01,-6.01,330.2,568,8,9,-0.0106,0.7462,bb_bounce_8e834b15,GBPJPY,bb_bounce,A×3.0,A×1.5,newyork,False,True,True,30,,,5.5,,,10.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_5f737d01,USDJPY,atr_break,A×4.0,A×1.5,london,True,False,True,120,20.0,1.8,0.0,,,,
0.4985,28.57,0.87,0.0,-0.85,194.3,42,9,2,-0.0203,1.2463,atr_break_ad193c09,USDJPY,atr_break,A×4.0,A×1.0,newyork,True,True,True,30,14.0,1.0,3.2,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_b735bdea,USDJPY,atr_break,A×3.0,A×0.7,london,True,True,True,120,14.0,2.0,0.0,,,,
0.0,0.0,0.06,0.0,-0.06,900.0,1,1,0,-0.062,0.0,atr_break_5b21f694,USDJPY,atr_break,A×5.0,A×1.5,london,True,True,True,0,12.0,1.5,15.0,,,,
1.8301,58.97,0.29,0.0,0.95,315.4,39,2,4,0.0243,1.2731,atr_break_c438674a,USDJPY,atr_break,A×5.0,A×1.5,london,True,True,True,30,10.0,1.0,5.3,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_7c33919f,USDJPY,atr_break,A×3.0,A×0.7,london,True,True,True,30,12.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_44176cb9,USDJPY,atr_break,A×3.0,A×0.7,newyork,True,True,True,0,16.0,1.8,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_4f4c5826,USDJPY,atr_break,A×5.0,A×2.0,newyork,True,False,True,30,20.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_310c7290,USDJPY,atr_break,A×3.0,A×1.5,london,True,False,True,120,10.0,1.8,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_8fdd3460,USDJPY,atr_break,A×3.0,A×1.0,newyork,False,True,True,30,16.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_231e0239,USDJPY,atr_break,A×4.0,A×1.5,london,True,True,True,120,16.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_ece8bf9c,USDJPY,atr_break,A×4.0,A×1.5,newyork,True,True,True,60,14.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_3e94010b,USDJPY,atr_break,A×4.0,A×1.0,london,True,False,True,120,20.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_d849a197,USDJPY,atr_break,A×2.5,A×1.0,london,True,False,True,60,7.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_d6334892,USDJPY,atr_break,A×5.0,A×1.5,london,True,True,False,30,5.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_d3ec35a6,USDJPY,atr_break,A×3.0,A×1.0,newyork,False,False,True,0,16.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_5faa0639,USDJPY,atr_break,A×3.0,A×0.7,london,False,True,True,30,16.0,1.8,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_6c792c83,USDJPY,atr_break,A×3.0,A×1.5,london,False,True,True,30,16.0,2.5,0.0,,,,
0.8733,54.0,0.74,0.0,-0.26,283.2,50,5,4,-0.0053,0.7439,atr_break_399687a7,USDJPY,atr_break,A×4.0,A×1.5,newyork,True,True,True,0,5.0,1.0,4.7,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_cba2af28,USDJPY,atr_break,A×3.0,A×0.7,london,True,False,False,30,5.0,2.0,0.0,,,,
0.0,0.0,0.01,0.0,-0.01,300.0,1,1,0,-0.009,0.0,atr_break_02531a30,USDJPY,atr_break,A×4.0,A×1.0,london,False,False,True,120,12.0,1.5,5.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_ff407a7b,USDJPY,atr_break,A×2.0,A×0.7,london,True,False,True,60,14.0,2.0,0.0,,,,
1.4082,30.0,0.39,0.0,0.16,348.0,10,5,1,0.016,3.2857,atr_break_bee51be7,USDJPY,atr_break,A×4.0,A×1.0,newyork,False,False,True,60,12.0,1.2,5.8,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_510b2118,USDJPY,atr_break,A×5.0,A×2.0,newyork,True,False,False,0,14.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_65e62b42,USDJPY,atr_break,A×2.0,A×0.7,newyork,False,False,True,30,10.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_edbd1c5c,USDJPY,atr_break,A×2.5,A×1.0,newyork,True,True,True,120,16.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_eacd2f37,USDJPY,atr_break,A×6.0,A×1.5,london,True,True,True,120,14.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_b5a4cc7d,USDJPY,atr_break,A×2.5,A×1.0,london,True,True,True,120,5.0,1.8,0.0,,,,
0.6866,40.0,0.23,0.0,-0.15,282.0,10,2,2,-0.0147,1.0299,atr_break_2adee348,USDJPY,atr_break,A×6.0,A×1.5,london,True,True,True,120,10.0,1.2,4.7,,,,
