pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,category,rsi_period,oversold,overbought,tp_type,sl_type,session_filter,has_htf_filter,has_vola_filter,has_breakeven,max_bars,avg_hold_min,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork,pair_tf,pf_capped
0.8914,40.95,1.95,0.0,-1.14,4908.6,105,8,4,-0.0109,1.2852,rsi_reversal_4dd53685,USDJPY,M5,mean_reversion,10,35,65,fixed,fixed,all,True,True,False,60,81.8,-2.65,0.32,1.19,41,24,40,USDJPY_M5,0.8914
0.8093,50.0,0.37,0.0,-0.1,7800.0,6,2,2,-0.0172,0.8093,rsi_reversal_c9550def,USDJPY,M5,mean_reversion,21,25,75,fixed,fixed,tokyo,False,True,True,60,130.0,-0.1,0.0,0.0,6,0,0,USDJPY_M5,0.8093
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_fcec14a6,USDJPY,M5,mean_reversion,14,20,80,atr_mult,atr_mult,tokyo,True,False,True,240,0.0,0.0,0.0,0.0,0,0,0,USDJPY_M5,0.0
0.5602,40.4,4.62,0.0,-4.49,3557.6,99,8,4,-0.0453,0.8262,rsi_reversal_cea362ea,USDJPY,M5,mean_reversion,18,35,65,fixed,atr_mult,london,False,True,True,120,59.3,-1.17,-3.32,0.0,19,80,0,USDJPY_M5,0.5602
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_74f9af2e,USDJPY,M5,mean_reversion,18,20,80,atr_mult,fixed,london_ny,True,False,True,0,0.0,0.0,0.0,0.0,0,0,0,USDJPY_M5,0.0
0.6552,16.67,3.06,0.0,-2.87,5400.0,90,29,4,-0.0319,3.276,rsi_reversal_12f149b0,USDJPY,M5,mean_reversion,21,32,68,fixed,atr_mult,london_ny,False,True,False,60,90.0,-1.08,-0.57,-1.22,17,42,31,USDJPY_M5,0.6552
1.2512,51.43,1.36,0.0,1.38,17597.1,35,4,5,0.0395,1.1817,rsi_reversal_3337b0fb,USDJPY,M5,mean_reversion,7,32,68,atr_mult,fixed,london,True,False,False,240,293.3,0.18,1.21,0.0,10,25,0,USDJPY_M5,1.2512
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_a895077c,USDJPY,M5,mean_reversion,18,20,80,atr_mult,atr_mult,tokyo,True,False,False,120,0.0,0.0,0.0,0.0,0,0,0,USDJPY_M5,0.0
1.575,50.0,0.42,0.0,0.32,3350.0,6,2,2,0.0537,1.575,rsi_reversal_e41d0290,USDJPY,M5,mean_reversion,10,25,75,atr_mult,fixed,london_ny,True,False,True,120,55.8,0.0,0.42,-0.1,0,3,3,USDJPY_M5,1.575
0.7215,33.33,4.86,0.0,-3.97,6820.5,117,11,3,-0.0339,1.4431,rsi_reversal_f4d4394b,USDJPY,M5,mean_reversion,7,28,72,atr_mult,atr_mult,tokyo,False,True,True,60,113.7,-3.97,0.0,0.0,117,0,0,USDJPY_M5,0.7215
0.8643,41.44,4.73,0.0,-3.08,4860.8,222,12,5,-0.0139,1.2213,rsi_reversal_365894b2,USDJPY,M5,mean_reversion,10,32,68,fixed,fixed,london_ny,False,True,False,60,81.0,-0.84,-3.23,0.99,36,102,84,USDJPY_M5,0.8643
0.8358,36.17,0.69,0.0,-0.4,1212.8,47,8,5,-0.0085,1.4749,rsi_reversal_fc598c45,USDJPY,M5,mean_reversion,10,30,70,atr_mult,fixed,newyork,True,False,True,0,20.2,0.0,-0.41,0.01,0,13,34,USDJPY_M5,0.8358
3.1485,75.0,0.3,0.0,0.65,5400.0,4,1,2,0.1628,1.0495,rsi_reversal_8eaf0095,USDJPY,M5,mean_reversion,10,25,75,atr_mult,fixed,newyork,True,False,False,60,90.0,0.0,0.35,0.3,0,1,3,USDJPY_M5,3.1485
0.9171,42.25,3.44,0.0,-1.07,15921.1,71,10,5,-0.015,1.2534,rsi_reversal_7d1dacdf,USDJPY,M5,mean_reversion,18,30,70,fixed,fixed,all,False,False,False,120,265.4,-0.11,-0.72,-0.23,26,24,21,USDJPY_M5,0.9171
1.1106,72.97,0.8,0.0,0.35,5108.1,37,2,6,0.0095,0.4113,rsi_reversal_5a528658,USDJPY,M5,mean_reversion,21,32,68,atr_mult,fixed,london,False,True,True,240,85.1,-0.25,0.61,0.0,9,28,0,USDJPY_M5,1.1106
0.9505,39.53,1.76,0.0,-0.23,5707.0,43,10,5,-0.0053,1.4538,rsi_reversal_ba111fd0,USDJPY,M5,mean_reversion,21,32,68,atr_mult,atr_mult,newyork,False,True,True,60,95.1,0.0,-0.46,0.24,0,19,24,USDJPY_M5,0.9505
1.7993,50.0,0.42,0.0,0.71,5370.0,10,2,4,0.0713,1.7993,rsi_reversal_fc6388ec,USDJPY,M5,mean_reversion,10,25,75,fixed,atr_mult,newyork,True,False,True,0,89.5,0.0,0.42,0.3,0,4,6,USDJPY_M5,1.7993
0.6782,36.47,3.94,0.0,-3.94,1953.5,170,9,6,-0.0232,1.1814,rsi_reversal_72c6fd76,USDJPY,M5,mean_reversion,7,30,70,atr_mult,atr_mult,all,True,True,False,120,32.6,-1.81,-2.02,-0.12,75,38,57,USDJPY_M5,0.6782
0.8639,56.38,3.32,0.0,-1.51,8888.3,94,3,8,-0.0161,0.6683,rsi_reversal_6b946fdf,USDJPY,M5,mean_reversion,7,30,70,fixed,fixed,london,False,False,True,240,148.1,-1.0,-0.51,0.0,29,65,0,USDJPY_M5,0.8639
0.5071,16.38,8.29,0.01,-8.01,1718.5,232,22,2,-0.0345,2.5888,rsi_reversal_09f0bc6f,USDJPY,M5,mean_reversion,10,28,72,fixed,fixed,london_ny,False,False,False,60,28.6,-1.12,-4.56,-2.34,27,120,85,USDJPY_M5,0.5071
