pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,tf,sig_type,cat,tp_d,sl_d,sess,lv,be,trail,trail_type,mb,hold_m,pnl_tokyo,tr_tokyo,pnl_london,tr_london,pnl_newyork,tr_newyork
0.9798,55.18,1.87,0.0,-0.26,113.2,299,5,8,-0.0009,0.7957,hilo_break_45aff16f,GBPJPY,M1,hilo_break,breakout,15p,15p,london,True,True,False,,30,1.9,-1.49,75,1.23,224,0.0,0
inf,100.0,0.0,0.0,0.04,60.0,1,0,1,0.039,0.0,atr_break_b0983be6,GBPJPY,M1,atr_break,breakout,20p,7p,newyork,True,True,True,atr_mult,0,1.0,0.0,0,0.0,0,0.04,1
0.7962,39.86,5.97,0.01,-4.79,97.8,587,13,6,-0.0082,1.201,donchian_break_d045aff9,GBPJPY,M1,donchian_break,breakout,20p,10p,newyork,False,True,True,atr_mult,120,1.6,0.0,0,0.28,204,-5.07,383
0.9491,47.67,1.33,0.0,-0.23,173.0,86,5,5,-0.0027,1.0417,atr_break_db6d57eb,GBPJPY,M1,atr_break,breakout,A×4.0,A×1.0,newyork,False,True,True,fixed,0,2.9,0.0,0,0.39,28,-0.62,58
0.9001,42.02,2.93,0.0,-0.95,100.3,238,10,6,-0.004,1.2422,wick_reversal_7f29d232,GBPJPY,M1,wick_reversal,mean_reversion,20p,10p,london,True,True,True,atr_mult,0,1.7,0.02,52,-0.97,186,0.0,0
0.8067,45.11,9.35,0.01,-6.34,294.5,521,9,6,-0.0122,0.9818,hilo_break_4e4cd71e,GBPJPY,M1,hilo_break,breakout,A×4.0,A×1.5,newyork,False,False,True,atr_mult,0,4.9,0.0,0,2.44,177,-8.78,344
1.4768,52.63,0.17,0.0,0.48,88.4,38,2,3,0.0127,1.3291,hilo_break_f39dc200,GBPJPY,M1,hilo_break,breakout,15p,7p,newyork,True,False,False,,30,1.5,0.0,0,0.01,15,0.48,23
0.9329,54.29,3.3,0.0,-1.17,398.6,280,7,6,-0.0042,0.7856,bb_bounce_b5db17ee,GBPJPY,M1,bb_bounce,mean_reversion,A×5.0,A×1.5,newyork,True,True,False,,30,6.6,0.0,0,0.05,97,-1.22,183
0.7619,45.1,4.42,0.0,-3.47,154.6,286,8,7,-0.0121,0.9273,hilo_break_d88af220,GBPJPY,M1,hilo_break,breakout,A×2.5,A×1.0,newyork,True,False,True,fixed,30,2.6,0.0,0,0.1,103,-3.57,183
0.7227,48.0,3.35,0.0,-3.25,124.8,225,6,6,-0.0144,0.7829,bb_bounce_19954074,GBPJPY,M1,bb_bounce,mean_reversion,15p,15p,newyork,False,False,True,atr_mult,60,2.1,0.0,0,-2.81,74,-0.44,151
0.8901,45.32,13.12,0.01,-9.81,159.0,1838,14,8,-0.0053,1.0738,wick_reversal_72f58224,GBPJPY,M1,wick_reversal,mean_reversion,A×3.0,A×1.0,newyork,True,True,True,fixed,0,2.6,0.0,0,-0.45,638,-9.36,1200
1.1158,44.64,0.88,0.0,0.23,107.1,56,7,3,0.004,1.3836,hilo_break_eac968d2,GBPJPY,M1,hilo_break,breakout,20p,7p,newyork,False,False,True,atr_mult,120,1.8,0.0,0,0.25,22,-0.03,34
0.7988,40.71,6.51,0.01,-3.83,158.3,393,14,5,-0.0097,1.1633,hilo_break_d6156104,GBPJPY,M1,hilo_break,breakout,A×2.0,A×0.7,london,False,True,True,atr_mult,60,2.6,-2.0,93,-1.83,300,0.0,0
0.849,49.14,19.81,0.02,-18.51,122.6,2562,9,10,-0.0072,0.8786,wick_reversal_562b39aa,GBPJPY,M1,wick_reversal,mean_reversion,15p,15p,newyork,True,False,True,atr_mult,60,2.0,0.0,0,-6.88,905,-11.64,1657
0.8198,44.11,32.0,0.03,-29.41,240.7,2795,16,13,-0.0105,1.0386,wick_reversal_62beef8b,GBPJPY,M1,wick_reversal,mean_reversion,A×3.0,A×1.0,newyork,False,True,True,atr_mult,0,4.0,0.0,0,-12.49,953,-16.93,1842
inf,100.0,0.0,0.0,0.05,120.0,1,0,1,0.054,0.0,atr_break_ad13788b,GBPJPY,M1,atr_break,breakout,A×2.5,A×1.0,newyork,True,True,True,fixed,60,2.0,0.0,0,0.0,0,0.05,1
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_e1667905,GBPJPY,M1,atr_break,breakout,A×5.0,A×1.5,london,True,False,True,atr_mult,120,0.0,0.0,0,0.0,0,0.0,0
