pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,session,htf_period,bb_touch_period,bb_touch_std,atr_low_vola_lb,wick_ratio,has_htf,has_bb_touch,has_atr_low_vola,has_wick_dir,n_struct_filters,tp_type,sl_type,has_breakeven,max_bars,avg_hold_min,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork
0.7745,34.04,1.59,0.0,-1.24,6095.7,47,5,5,-0.0263,1.5006,rsi_reversal_d93db6f3,USDJPY,M5,newyork,0,0,0.0,0,0.0,False,False,False,False,0,atr_mult,atr_mult,False,120,101.6,0.0,-0.42,-0.81,0,22,25
0.5692,15.87,2.69,0.0,-2.53,4857.1,63,20,2,-0.0402,3.0166,rsi_reversal_bd95989f,USDJPY,M5,london,0,0,0.0,0,0.0,False,False,False,False,0,fixed,atr_mult,False,60,81.0,-0.48,-2.05,0.0,15,48,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_75b07880,USDJPY,M5,london,6,0,0.0,0,0.0,True,False,False,False,1,fixed,fixed,True,120,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_57647980,USDJPY,M5,newyork,12,0,0.0,0,0.0,True,False,False,False,1,fixed,atr_mult,True,120,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_c1b29da4,USDJPY,M5,newyork,6,0,0.0,0,0.0,True,False,False,False,1,atr_mult,fixed,True,0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_eef601c8,USDJPY,M5,london,12,0,0.0,0,0.0,True,False,False,False,1,atr_mult,atr_mult,False,120,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_5fc0fd94,USDJPY,M5,london,6,0,0.0,0,0.0,True,False,False,False,1,atr_mult,atr_mult,True,60,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_34e1d2f8,USDJPY,M5,newyork,12,0,0.0,0,0.0,True,False,False,False,1,atr_mult,fixed,True,0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_d7e0d4ae,USDJPY,M5,newyork,24,0,0.0,0,0.0,True,False,False,False,1,atr_mult,fixed,False,60,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_d20b98db,USDJPY,M5,london,24,0,0.0,0,0.0,True,False,False,False,1,atr_mult,fixed,True,120,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_ea791a30,USDJPY,M5,london,6,0,0.0,0,0.0,True,False,False,False,1,atr_mult,fixed,False,120,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_bf990528,USDJPY,M5,london,12,0,0.0,0,0.0,True,False,False,False,1,atr_mult,fixed,False,120,0.0,0.0,0.0,0.0,0,0,0
