pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,category,rsi_period,oversold,overbought,tp_type,sl_type,session_filter,has_htf_filter,has_vola_filter,has_breakeven,max_bars,avg_hold_min,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork
0.4975,20.85,32.46,0.03,-31.38,240.6,940,34,4,-0.0334,1.8884,rsi_reversal_519d5493,GBPJPY,M1,mean_reversion,14,32,68,atr_mult,fixed,london,False,True,True,120,4.0,-2.72,-28.66,0.0,185,755,0
0.64,33.33,2.87,0.0,-2.77,1621.3,45,4,3,-0.0615,1.28,rsi_reversal_36a9d345,GBPJPY,M1,mean_reversion,14,28,72,atr_mult,fixed,london,True,False,True,240,27.0,-0.77,-1.99,0.0,9,36,0
0.6647,29.14,9.85,0.01,-8.95,1081.2,151,12,4,-0.0593,1.6164,rsi_reversal_40288e8f,GBPJPY,M1,mean_reversion,14,25,75,fixed,atr_mult,newyork,False,False,False,0,18.0,0.0,-5.53,-3.41,0,66,85
0.6622,61.34,7.13,0.01,-6.75,1104.2,119,4,6,-0.0568,0.4173,rsi_reversal_f8c096fe,GBPJPY,M1,mean_reversion,14,25,75,atr_mult,atr_mult,newyork,False,True,False,240,18.4,0.0,-4.58,-2.18,0,50,69
0.6442,43.04,26.77,0.03,-25.73,1625.4,309,9,6,-0.0833,0.8525,rsi_reversal_ecfeeede,GBPJPY,M1,mean_reversion,18,35,65,atr_mult,atr_mult,london,False,True,False,60,27.1,-4.45,-21.28,0.0,74,235,0
0.7412,37.24,8.36,0.01,-7.18,1332.4,145,8,6,-0.0495,1.2491,rsi_reversal_0d828371,GBPJPY,M1,mean_reversion,14,25,75,atr_mult,fixed,london,False,True,False,120,22.2,-0.01,-7.18,0.0,26,119,0
0.46,19.86,5.4,0.01,-5.08,166.4,141,22,4,-0.036,1.8565,rsi_reversal_dc725157,GBPJPY,M1,mean_reversion,14,30,70,atr_mult,fixed,all,True,True,True,60,2.8,-1.79,-2.33,-0.95,62,42,37
0.5285,53.57,1.94,0.0,-1.44,552.9,28,3,3,-0.0513,0.4581,rsi_reversal_0feeb3fe,GBPJPY,M1,mean_reversion,21,32,68,fixed,atr_mult,newyork,True,False,True,60,9.2,0.0,0.03,-1.47,0,12,16
0.5826,61.83,98.71,0.1,-98.06,254.6,3296,8,13,-0.0298,0.3596,rsi_reversal_7b07bc10,GBPJPY,M1,mean_reversion,7,30,70,fixed,atr_mult,all,False,True,True,0,4.2,-39.21,-36.35,-22.51,1248,955,1093
0.7388,61.9,12.02,0.01,-11.31,1084.4,273,3,10,-0.0414,0.4546,rsi_reversal_3b6d57d1,GBPJPY,M1,mean_reversion,18,30,70,fixed,atr_mult,london_ny,False,True,False,60,18.1,1.28,-10.23,-2.36,35,136,102
0.5341,32.32,7.79,0.01,-7.27,1251.5,99,11,3,-0.0734,1.1183,rsi_reversal_5d68ec8b,GBPJPY,M1,mean_reversion,14,20,80,atr_mult,atr_mult,all,False,True,True,240,20.9,0.09,-4.83,-2.53,40,39,20
0.6205,22.54,4.22,0.0,-3.28,237.0,142,16,3,-0.0231,2.1331,rsi_reversal_d3f8ed23,GBPJPY,M1,mean_reversion,7,20,80,fixed,fixed,newyork,True,False,True,0,4.0,0.0,-2.35,-0.93,0,67,75
0.6069,42.19,4.54,0.0,-3.85,797.8,64,6,4,-0.0601,0.8316,rsi_reversal_13d4aeb4,GBPJPY,M1,mean_reversion,7,20,80,fixed,fixed,tokyo,True,False,True,0,13.3,-3.85,0.0,0.0,64,0,0
0.7795,27.94,14.32,0.01,-12.01,599.2,476,18,4,-0.0252,2.0103,rsi_reversal_f7da6f6b,GBPJPY,M1,mean_reversion,7,25,75,atr_mult,fixed,all,True,True,True,0,10.0,-5.3,-7.45,0.74,180,133,163
0.6468,35.72,27.19,0.03,-26.51,464.6,781,14,6,-0.0339,1.1637,rsi_reversal_ff48c115,GBPJPY,M1,mean_reversion,7,25,75,fixed,fixed,newyork,False,True,True,60,7.7,0.0,-16.5,-10.02,0,285,496
6.9286,66.67,0.06,0.0,0.33,340.0,3,1,2,0.1107,3.4643,rsi_reversal_e012d1b7,GBPJPY,M1,mean_reversion,21,25,75,fixed,atr_mult,all,True,True,True,60,5.7,0.14,0.19,0.0,2,1,0
0.6503,20.66,44.46,0.04,-41.75,669.2,973,25,4,-0.0429,2.4977,rsi_reversal_27b5e374,GBPJPY,M1,mean_reversion,7,30,70,fixed,fixed,newyork,False,True,False,60,11.2,0.0,-15.16,-26.6,0,357,616
0.5267,50.72,49.03,0.05,-48.93,160.4,1589,9,11,-0.0308,0.5116,rsi_reversal_b501e0e1,GBPJPY,M1,mean_reversion,7,30,70,fixed,atr_mult,tokyo,False,False,True,240,2.7,-48.93,0.0,0.0,1589,0,0
0.7459,36.88,4.53,0.0,-3.34,354.9,141,8,4,-0.0237,1.2767,rsi_reversal_59182b3a,GBPJPY,M1,mean_reversion,14,28,72,fixed,atr_mult,all,True,True,False,0,5.9,-1.54,-0.52,-1.27,56,47,38
0.658,36.66,12.4,0.01,-11.65,325.6,371,9,5,-0.0314,1.1369,rsi_reversal_8a171d7d,GBPJPY,M1,mean_reversion,14,28,72,fixed,atr_mult,tokyo,False,True,True,60,5.4,-11.65,0.0,0.0,371,0,0
inf,100.0,0.0,0.0,0.68,1470.0,2,0,2,0.3375,0.0,rsi_reversal_041f8989,GBPJPY,M1,mean_reversion,21,25,75,atr_mult,atr_mult,all,True,True,True,120,24.5,0.31,0.37,0.0,1,1,0
0.442,36.01,16.81,0.02,-16.81,89.1,572,12,5,-0.0294,0.7852,rsi_reversal_91d86554,GBPJPY,M1,mean_reversion,7,20,80,fixed,fixed,newyork,False,True,False,60,1.5,0.0,-7.86,-8.95,0,238,334
0.5748,34.29,9.15,0.01,-8.62,425.1,210,11,4,-0.041,1.1018,rsi_reversal_91fd0ad1,GBPJPY,M1,mean_reversion,18,25,75,atr_mult,atr_mult,all,False,True,True,240,7.1,-0.75,-5.19,-2.68,84,76,50
0.6751,33.94,40.5,0.04,-39.72,957.7,763,16,6,-0.0521,1.3138,rsi_reversal_d227fedd,GBPJPY,M1,mean_reversion,10,28,72,atr_mult,atr_mult,london_ny,False,True,True,0,16.0,-2.32,-23.85,-13.55,100,370,293
0.8858,38.96,5.96,0.01,-2.64,544.8,249,8,5,-0.0106,1.3881,rsi_reversal_a865b9c9,GBPJPY,M1,mean_reversion,7,25,75,atr_mult,fixed,newyork,True,False,True,60,9.1,0.0,-4.51,1.88,0,95,154
0.7673,47.41,35.78,0.04,-34.59,669.2,1314,13,9,-0.0263,0.8511,rsi_reversal_a056ecb1,GBPJPY,M1,mean_reversion,7,35,65,fixed,atr_mult,all,True,False,True,0,11.2,-13.11,-15.1,-6.38,480,386,448
0.4773,20.18,16.46,0.02,-15.77,154.9,451,17,5,-0.035,1.888,rsi_reversal_fdfb4d3e,GBPJPY,M1,mean_reversion,18,30,70,fixed,fixed,tokyo,False,False,False,120,2.6,-15.77,0.0,0.0,451,0,0
0.7076,48.84,3.82,0.0,-3.52,947.4,86,7,6,-0.041,0.7413,rsi_reversal_41245532,GBPJPY,M1,mean_reversion,14,30,70,atr_mult,fixed,all,True,True,True,120,15.8,-1.12,-1.52,-0.88,39,23,24
