rank,pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
708,0.0371,4.67,26.27,0.03,-26.28,1659.8,107,ema_cross_c0bc017b,USDJPY,M5
709,0.0369,22.22,3.34,0.0,-3.34,1593.3,9,rsi_reversal_151341dc,USDJPY,M1
710,0.0365,10.9,34.5,0.03,-34.5,341.2,156,rsi_trend_d93f8fad,GBPJPY,M1
711,0.0349,11.76,52.18,0.05,-52.18,742.4,238,momentum_3c40121e,EURJPY,M5
712,0.0346,9.59,15.52,0.02,-15.52,452.1,73,rsi_reversal_2b0309c5,EURJPY,M1
713,0.0342,10.47,65.65,0.07,-65.65,1747.3,296,bb_break_d3dc0be4,EURJPY,M5
714,0.0338,8.93,35.62,0.04,-35.62,327.5,168,rsi_trend_d93f8fad,EURJPY,M1
715,0.0317,12.91,67.3,0.07,-67.25,320.9,302,bb_bounce_855c42e6,EURJPY,M1
716,0.0314,12.23,63.17,0.06,-63.15,557.1,278,rsi_reversal_1267fc98,USDJPY,M1
717,0.0302,13.75,16.73,0.02,-16.72,525.0,80,bb_break_591b1a3c,USDJPY,M1
718,0.0301,18.69,43.97,0.04,-43.96,591.5,198,momentum_4861fb73,USDJPY,M1
719,0.0295,6.14,25.36,0.03,-25.36,452.6,114,ema_cross_1426d360,USDJPY,M1
720,0.0276,7.69,17.84,0.02,-17.84,1519.2,78,ema_cross_abdcab58,USDJPY,M5
721,0.0273,6.33,18.33,0.02,-18.33,502.8,79,rsi_reversal_2b0309c5,USDJPY,M1
722,0.027,6.36,23.47,0.02,-23.47,425.5,110,ema_cross_1426d360,GBPJPY,M1
723,0.0269,9.89,55.11,0.06,-55.02,2088.6,263,bb_break_d3dc0be4,USDJPY,M5
724,0.026,8.42,46.26,0.05,-46.26,2046.3,190,momentum_6294ece1,USDJPY,M5
725,0.0249,4.76,20.02,0.02,-20.02,320.7,84,rsi_reversal_2b0309c5,GBPJPY,M1
726,0.0238,12.5,2.65,0.0,-2.58,855.0,8,bb_bounce_10cf0c5d,GBPJPY,M1
727,0.0226,9.52,17.08,0.02,-17.08,3050.0,42,donchian_break_c808e1f8,EURJPY,M5
728,0.0218,9.35,23.97,0.02,-23.97,153.6,107,momentum_ec4b3173,GBPJPY,M1
729,0.0213,7.8,61.71,0.06,-61.47,406.4,282,bb_break_d3dc0be4,GBPJPY,M1
730,0.0205,4.05,39.36,0.04,-39.36,337.8,173,rsi_trend_d93f8fad,USDJPY,M1
731,0.0204,6.32,22.11,0.02,-22.11,306.3,95,ema_cross_abdcab58,EURJPY,M1
732,0.0184,7.64,65.35,0.07,-65.35,322.7,301,bb_bounce_855c42e6,USDJPY,M1
733,0.0182,8.18,24.32,0.02,-24.32,158.2,110,momentum_ec4b3173,EURJPY,M1
734,0.0181,9.92,56.64,0.06,-56.65,494.0,252,bb_break_d3dc0be4,EURJPY,M1
735,0.018,14.52,30.75,0.03,-30.75,549.2,124,donchian_break_c3e2df3a,EURJPY,M1
736,0.0176,12.0,17.2,0.02,-17.2,258.4,75,donchian_break_a79cad69,EURJPY,M1
737,0.0173,8.57,54.56,0.05,-54.56,524.3,245,bb_break_d3dc0be4,USDJPY,M1
738,0.0166,10.64,21.23,0.02,-21.2,1873.4,94,bb_break_591b1a3c,USDJPY,M5
739,0.0166,13.45,66.36,0.07,-66.32,950.5,290,rsi_reversal_da6a2ac4,USDJPY,M1
740,0.0164,4.88,54.15,0.05,-54.08,380.5,246,rsi_trend_aaad8ce7,GBPJPY,M5
741,0.0163,13.27,28.36,0.03,-28.36,582.5,113,donchian_break_88941f39,EURJPY,M1
742,0.0153,9.66,29.94,0.03,-29.94,2695.9,145,donchian_break_c367b371,USDJPY,M5
743,0.0152,11.83,20.73,0.02,-20.73,640.0,93,bb_break_6fc3d727,EURJPY,M1
744,0.0149,5.58,44.83,0.04,-44.83,667.0,215,rsi_trend_aaad8ce7,USDJPY,M5
745,0.0145,6.47,28.75,0.03,-28.75,783.5,139,momentum_12bcd399,GBPJPY,M5
746,0.0137,4.12,52.38,0.05,-52.38,437.0,243,rsi_trend_aaad8ce7,EURJPY,M5
747,0.0126,6.28,45.4,0.05,-45.4,186.7,207,rsi_trend_aaad8ce7,EURJPY,M1
748,0.0122,7.37,48.0,0.05,-48.0,1012.0,217,momentum_3c40121e,USDJPY,M5
749,0.0117,10.26,14.23,0.01,-14.23,896.9,78,rsi_reversal_b2d696ef,USDJPY,M1
750,0.0112,5.26,17.59,0.02,-17.59,347.4,76,ema_cross_abdcab58,USDJPY,M1
751,0.0106,6.2,85.27,0.09,-85.21,616.3,387,momentum_5a6bc941,GBPJPY,M5
752,0.0097,5.48,93.8,0.09,-93.8,1240.7,420,bb_bounce_c1934f40,GBPJPY,M5
753,0.0094,4.88,28.67,0.03,-28.67,430.2,123,ema_cross_1426d360,EURJPY,M1
754,0.0093,4.47,68.01,0.07,-68.01,415.0,313,rsi_reversal_d63b314d,EURJPY,M5
755,0.0091,5.91,80.47,0.08,-80.47,1423.7,389,bb_bounce_c1934f40,EURJPY,M5
756,0.0086,14.29,3.0,0.0,-3.0,960.0,7,rsi_reversal_9ceb6cfe,USDJPY,M1
757,0.0074,3.51,13.29,0.01,-13.29,342.1,57,ema_cross_b02e045d,GBPJPY,M5
758,0.007,7.86,29.22,0.03,-29.22,354.4,140,rsi_trend_aaad8ce7,USDJPY,M1
759,0.007,2.82,15.64,0.02,-15.64,461.4,71,rsi_reversal_93ef9480,EURJPY,M1
760,0.0069,3.73,30.18,0.03,-30.18,1065.7,134,momentum_12bcd399,EURJPY,M5
761,0.0065,3.79,82.1,0.08,-82.1,361.0,369,rsi_reversal_d63b314d,GBPJPY,M5
762,0.0058,2.4,47.28,0.05,-47.28,166.4,208,rsi_trend_aaad8ce7,GBPJPY,M1
763,0.0057,7.32,26.08,0.03,-26.08,682.4,123,donchian_break_c3e2df3a,USDJPY,M1
764,0.0047,2.71,62.92,0.06,-62.92,585.8,295,rsi_reversal_d63b314d,USDJPY,M5
765,0.0047,2.04,21.61,0.02,-21.61,203.9,98,momentum_ec4b3173,USDJPY,M1
766,0.0046,1.88,71.45,0.07,-71.45,143.7,319,rsi_reversal_d63b314d,GBPJPY,M1
767,0.0043,6.9,25.1,0.03,-25.1,510.0,116,donchian_break_88941f39,USDJPY,M1
768,0.0042,3.75,17.12,0.02,-17.12,310.5,80,donchian_break_a79cad69,USDJPY,M1
769,0.004,4.4,34.41,0.03,-34.38,474.7,159,donchian_break_c367b371,GBPJPY,M1
770,0.0029,2.78,27.15,0.03,-27.15,1805.6,108,momentum_12bcd399,USDJPY,M5
771,0.0026,1.75,64.07,0.06,-64.07,565.0,286,bb_bounce_c1934f40,EURJPY,M1
772,0.0024,1.89,58.85,0.06,-58.85,209.4,265,rsi_reversal_d63b314d,EURJPY,M1
773,0.0023,2.2,81.84,0.08,-81.84,777.7,363,momentum_5a6bc941,EURJPY,M5
774,0.0023,1.71,54.31,0.05,-54.31,296.4,234,rsi_reversal_d63b314d,USDJPY,M1
775,0.002,1.26,80.0,0.08,-79.99,485.1,317,bb_bounce_c1934f40,GBPJPY,M1
776,0.0018,1.19,17.67,0.02,-17.67,569.3,84,momentum_12bcd399,GBPJPY,M1
777,0.0016,1.38,66.26,0.07,-66.26,1474.0,289,momentum_5a6bc941,USDJPY,M5
778,0.0014,2.22,41.63,0.04,-41.63,243.7,180,momentum_3c40121e,GBPJPY,M1
779,0.0013,4.21,20.18,0.02,-20.17,648.6,95,bb_break_6fc3d727,USDJPY,M1
780,0.0011,1.39,34.02,0.03,-34.02,616.7,144,donchian_break_c367b371,EURJPY,M1
781,0.0008,1.99,74.15,0.07,-74.15,1894.9,351,bb_bounce_c1934f40,USDJPY,M5
782,0.0008,0.63,38.29,0.04,-38.29,941.9,159,momentum_5a6bc941,USDJPY,M1
783,0.0007,1.64,9.65,0.01,-9.65,1078.0,61,momentum_12bcd399,USDJPY,M1
784,0.0007,1.27,16.82,0.02,-16.81,368.4,79,ema_cross_b02e045d,EURJPY,M5
