pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,sig,tp,sl,sess,lv,be,trail,mb,ab_period,ab_mult,hold_m,hl_lb,hl_cb,bb_p,bb_std
1.0823,45.1,1.07,0.0,0.23,265.9,51,6,4,0.0045,1.3176,atr_break_742c5f84,GBPJPY,atr_break,A×3.0,A×1.0,london,True,True,False,60,10.0,1.0,4.4,,,,
1.0793,51.48,1.8,0.0,1.34,274.1,338,10,6,0.004,1.0172,atr_break_fe2f9f7d,EURJPY,atr_break,A×6.0,A×1.5,london,False,True,True,30,5.0,0.8,4.6,,,,
1.07,26.28,2.52,0.0,1.1,1814.9,137,9,3,0.0081,3.002,atr_break_65fb9db7,USDJPY,atr_break,A×4.0,A×1.5,newyork,True,False,False,0,20.0,0.8,30.2,,,,
1.0689,26.81,8.62,0.01,4.36,1810.0,455,17,5,0.0096,2.9175,bb_bounce_190563d8,EURJPY,bb_bounce,A×4.0,A×1.5,newyork,False,False,False,120,,,30.2,,,14.0,1.5
1.0679,47.59,2.27,0.0,1.07,281.6,374,8,6,0.0029,1.1759,bb_bounce_b85e5221,USDJPY,bb_bounce,A×2.5,A×1.0,london,True,True,True,60,,,4.7,,,20.0,2.0
1.0674,53.0,2.7,0.0,0.95,371.3,217,6,8,0.0044,0.9467,atr_break_3943f48d,GBPJPY,atr_break,A×5.0,A×1.5,london,True,True,True,120,12.0,0.8,6.2,,,,
1.0672,54.73,1.57,0.0,1.06,285.0,296,8,11,0.0036,0.8828,bb_bounce_d421299d,GBPJPY,bb_bounce,A×5.0,A×1.5,london,True,True,True,0,,,4.8,,,10.0,2.0
1.0669,19.7,3.05,0.0,0.87,393.3,198,19,3,0.0044,4.3498,atr_break_a99c81f2,GBPJPY,atr_break,A×3.0,A×0.7,london,True,False,False,60,20.0,0.8,6.6,,,,
1.0669,43.52,2.48,0.0,0.77,216.1,216,8,7,0.0036,1.3847,atr_break_5f16ab0a,GBPJPY,atr_break,A×3.0,A×1.0,london,True,True,True,120,14.0,0.8,3.6,,,,
1.0662,41.74,1.16,0.0,0.59,154.7,242,8,6,0.0025,1.4884,hilo_break_7c841f07,EURJPY,hilo_break,A×2.0,A×0.7,newyork,True,True,False,0,,,2.6,12.0,1.0,,
1.0649,45.37,1.35,0.0,0.4,278.9,108,5,4,0.0037,1.2822,bb_bounce_bce31056,GBPJPY,bb_bounce,A×4.0,A×1.0,newyork,True,True,True,60,,,4.6,,,30.0,2.5
1.0607,25.51,3.45,0.0,0.57,608.6,98,13,4,0.0059,3.0973,atr_break_fa68d7b9,GBPJPY,atr_break,A×2.5,A×1.0,london,False,False,False,60,16.0,1.0,10.1,,,,
1.0575,32.71,3.17,0.0,1.42,509.1,373,15,5,0.0038,2.1757,hilo_break_c18dfdd8,EURJPY,hilo_break,A×2.5,A×1.0,newyork,False,False,True,60,,,8.5,15.0,1.0,,
1.0564,31.74,4.66,0.0,1.26,1107.3,167,14,4,0.0075,2.2723,atr_break_d0675dfa,GBPJPY,atr_break,A×3.0,A×1.5,newyork,True,False,False,0,10.0,0.8,18.5,,,,
1.0554,48.0,0.78,0.0,0.15,235.2,50,3,4,0.003,1.1434,atr_break_ad193c09,GBPJPY,atr_break,A×4.0,A×1.0,newyork,True,True,True,30,14.0,1.0,3.9,,,,
1.0519,36.36,0.51,0.0,0.13,181.6,77,7,4,0.0017,1.8408,atr_break_084d4bdf,USDJPY,atr_break,A×2.0,A×0.7,newyork,False,False,True,120,16.0,1.0,3.0,,,,
1.0498,58.82,1.24,0.0,0.12,382.4,51,8,6,0.0024,0.7349,hilo_break_00369025,EURJPY,hilo_break,A×3.0,A×1.5,london,True,True,False,120,,,6.4,7.0,2.0,,
1.0492,48.92,1.34,0.0,0.26,256.8,139,9,5,0.0019,1.0954,bb_bounce_bce31056,USDJPY,bb_bounce,A×4.0,A×1.0,newyork,True,True,True,60,,,4.3,,,30.0,2.5
1.0452,49.78,4.49,0.0,1.37,378.3,458,7,9,0.003,1.0544,hilo_break_bada7226,GBPJPY,hilo_break,A×5.0,A×2.0,london,False,False,True,60,,,6.3,12.0,1.0,,
1.0387,38.31,2.68,0.0,0.64,363.3,295,12,4,0.0022,1.673,hilo_break_055e3903,EURJPY,hilo_break,A×4.0,A×1.0,newyork,False,False,True,120,,,6.1,25.0,1.0,,
