,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,SOLUSDT
2024-02-11 06:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 07:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 08:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 09:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 10:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 11:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 12:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 13:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 14:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 15:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 16:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 17:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 18:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 19:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 20:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 21:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 22:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 23:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-12 00:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-12 01:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-12 02:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-12 03:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-12 04:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-12 05:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-12 06:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.70127961259465
2024-02-12 07:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.025440587733172
