pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.7307,45.45,2.27,0.0,-1.42,5359.1,22,rsi_reversal_f8f5d99f,EURJPY,M5
0.4344,48.42,23.11,0.02,-21.7,9723.2,95,rsi_trend_08bc1cb9,EURJPY,M5
0.4525,44.68,21.84,0.02,-20.38,9714.9,94,rsi_trend_0a63e580,EURJPY,M5
0.5987,53.12,9.94,0.01,-8.47,9623.4,64,rsi_trend_4e8ecd2c,EURJPY,M5
0.4393,46.94,22.28,0.02,-20.87,9058.2,98,rsi_trend_5d31b21a,EURJPY,M5
0.4426,44.21,22.34,0.02,-21.33,10038.9,95,rsi_trend_65d1a53d,EURJPY,M5
0.2081,25.89,28.0,0.03,-28.0,3056.2,112,rsi_trend_8cdd4186,EURJPY,M5
0.4752,49.06,20.5,0.02,-19.65,8165.1,106,rsi_trend_d066d7d9,EURJPY,M5
0.0462,21.51,18.71,0.02,-18.72,591.0,93,bb_break_6fc3d727,GBPJPY,M1
0.4155,38.89,10.31,0.01,-9.98,1179.2,72,donchian_break_1d1e6dd4,GBPJPY,M1
0.098,9.86,33.38,0.03,-32.59,374.4,142,donchian_break_67ae5630,GBPJPY,M1
0.3921,37.5,11.0,0.01,-10.67,1142.5,72,donchian_break_c9960c99,GBPJPY,M1
0.2951,41.98,13.06,0.01,-12.76,988.1,81,donchian_break_c9b609d1,GBPJPY,M1
0.4968,38.89,10.9,0.01,-10.49,1972.5,72,donchian_break_f969b62d,GBPJPY,M1
0.2435,36.36,12.15,0.01,-11.87,849.1,66,ema_cross_0b2d6a5b,GBPJPY,M1
0.3287,21.74,11.12,0.01,-9.5,1923.9,46,ema_cross_13118541,GBPJPY,M1
0.314,52.11,14.32,0.01,-13.35,1658.0,71,ema_cross_156f8a41,GBPJPY,M1
0.4126,31.82,18.34,0.02,-16.73,1105.6,110,ema_cross_5809e979,GBPJPY,M1
0.3051,20.69,12.7,0.01,-11.97,2156.9,58,ema_cross_5e5710c1,GBPJPY,M1
0.5342,56.6,5.84,0.01,-5.27,1627.9,53,ema_cross_66822117,GBPJPY,M1
0.4163,45.71,5.1,0.01,-4.77,1229.1,35,ema_cross_6e788a01,GBPJPY,M1
0.3847,30.3,7.76,0.01,-6.04,1800.0,33,ema_cross_8f6badbd,GBPJPY,M1
0.0894,29.03,28.5,0.03,-28.08,565.2,124,ema_cross_902d3a73,GBPJPY,M1
0.0,0.0,12.87,0.01,-12.87,123.1,58,ema_cross_b02e045d,GBPJPY,M1
0.2115,57.89,7.83,0.01,-7.55,784.2,57,ema_cross_b1324308,GBPJPY,M1
0.321,16.98,17.98,0.02,-17.17,1110.6,106,ema_cross_bdb5fe2a,GBPJPY,M1
0.3404,25.0,11.33,0.01,-10.06,1416.9,52,ema_cross_deca493e,GBPJPY,M1
0.3577,16.36,11.26,0.01,-10.6,2312.7,55,ema_cross_ef9924e5,GBPJPY,M1
0.1835,33.0,21.27,0.02,-20.47,735.6,100,ema_cross_f0deb4f0,GBPJPY,M1
0.2829,36.97,21.94,0.02,-20.94,874.8,119,ema_cross_fea5572c,GBPJPY,M1
0.4946,32.61,13.92,0.01,-12.97,1707.4,92,momentum_0b77e21d,GBPJPY,M1
0.3019,36.97,21.65,0.02,-21.37,1104.7,119,momentum_3967e139,GBPJPY,M1
0.2731,28.17,14.17,0.01,-14.17,976.1,71,momentum_44a50e6c,GBPJPY,M1
0.1998,25.0,20.24,0.02,-19.72,1006.5,80,momentum_490863a0,GBPJPY,M1
0.1789,20.62,21.58,0.02,-21.06,708.9,97,momentum_5100332c,GBPJPY,M1
0.1611,14.81,22.07,0.02,-21.73,488.3,108,momentum_6a62b07c,GBPJPY,M1
0.3036,30.77,13.53,0.01,-12.92,1134.5,65,momentum_7279aa16,GBPJPY,M1
0.284,29.31,12.42,0.01,-12.12,1125.5,58,momentum_d74757dc,GBPJPY,M1
0.2493,40.62,17.21,0.02,-16.94,1831.9,64,momentum_dc40cb70,GBPJPY,M1
0.0768,13.67,66.13,0.07,-66.13,551.4,278,rsi_reversal_1267fc98,GBPJPY,M1
0.0002,5.26,4.0,0.0,-4.0,281.1,19,rsi_reversal_2673622a,GBPJPY,M1
0.1688,38.4,37.55,0.04,-37.55,1655.5,125,rsi_reversal_3cc77779,GBPJPY,M1
0.1169,22.86,9.53,0.01,-9.52,704.6,35,rsi_reversal_5999e02d,GBPJPY,M1
0.1967,32.35,8.0,0.01,-8.0,1201.8,34,rsi_reversal_76543b15,GBPJPY,M1
0.1907,39.53,12.14,0.01,-12.14,1477.7,43,rsi_reversal_7a08475b,GBPJPY,M1
0.2214,43.66,18.44,0.02,-18.44,1465.4,71,rsi_reversal_8c7c3c1f,GBPJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_a73f69c6,GBPJPY,M1
0.0837,32.5,74.97,0.07,-74.85,982.9,280,rsi_reversal_da6a2ac4,GBPJPY,M1
0.0,0.0,0.5,0.0,-0.5,1080.0,1,rsi_reversal_ea79811e,GBPJPY,M1
0.0,0.0,0.5,0.0,-0.5,1080.0,1,rsi_reversal_f39ae529,GBPJPY,M1
0.194,30.56,9.67,0.01,-9.52,1425.0,36,rsi_reversal_f8f5d99f,GBPJPY,M1
0.2679,47.87,22.29,0.02,-21.52,1669.1,94,rsi_trend_08bc1cb9,GBPJPY,M1
0.2576,43.0,24.96,0.02,-24.03,1537.8,100,rsi_trend_0a63e580,GBPJPY,M1
0.2354,41.79,16.81,0.02,-16.05,1496.4,67,rsi_trend_4e8ecd2c,GBPJPY,M1
0.2266,44.12,25.85,0.03,-25.09,1471.8,102,rsi_trend_5d31b21a,GBPJPY,M1
0.2616,42.16,25.54,0.03,-24.54,1598.2,102,rsi_trend_65d1a53d,GBPJPY,M1
0.3566,30.0,15.33,0.02,-14.26,923.3,90,rsi_trend_8cdd4186,GBPJPY,M1
0.2212,42.16,26.16,0.03,-25.44,1475.3,102,rsi_trend_d066d7d9,GBPJPY,M1
0.1729,31.78,27.79,0.03,-27.35,1643.0,107,bb_break_6fc3d727,GBPJPY,M5
0.1648,24.1,18.38,0.02,-18.38,1355.4,83,donchian_break_1d1e6dd4,GBPJPY,M5
0.1032,13.42,34.68,0.03,-34.68,1077.2,149,donchian_break_67ae5630,GBPJPY,M5
0.1954,25.64,16.25,0.02,-16.25,1319.2,78,donchian_break_c9960c99,GBPJPY,M5
0.1148,26.6,21.14,0.02,-21.14,1046.8,94,donchian_break_c9b609d1,GBPJPY,M5
0.2671,37.0,29.52,0.03,-29.13,4839.0,100,donchian_break_f969b62d,GBPJPY,M5
