pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_dd927fc3,USDJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_fddc5ccf,USDJPY,M1
0.0851,21.79,855.88,0.86,-855.76,1101.8,3868,bb_bounce_4b9af643,USDJPY,M1
0.0115,6.46,1503.35,1.5,-1503.33,332.5,6859,bb_bounce_855c42e6,USDJPY,M1
0.1004,8.54,854.6,0.85,-854.6,604.7,3921,bb_bounce_87b909f7,USDJPY,M1
0.099,14.25,539.23,0.54,-539.23,647.6,2442,bb_bounce_ba35fab5,USDJPY,M1
0.0006,0.72,1490.97,1.49,-1490.97,683.4,6825,bb_bounce_c1934f40,USDJPY,M1
0.0235,13.34,488.24,0.49,-488.24,495.1,2197,bb_break_591b1a3c,USDJPY,M1
0.0214,9.97,1371.31,1.37,-1371.31,536.5,6352,bb_break_d3dc0be4,USDJPY,M1
0.0315,4.35,544.99,0.54,-545.0,265.7,2462,bb_break_eda60187,USDJPY,M1
0.0037,3.22,648.25,0.65,-648.25,607.4,2915,donchian_break_88941f39,USDJPY,M1
0.0,0.18,851.99,0.85,-851.99,579.5,3791,donchian_break_c367b371,USDJPY,M1
0.0072,5.75,674.51,0.67,-674.51,766.8,3025,donchian_break_c3e2df3a,USDJPY,M1
0.1463,28.36,203.25,0.2,-203.09,1472.2,892,donchian_break_c808e1f8,USDJPY,M1
0.2483,26.68,297.84,0.3,-297.55,2171.3,1327,donchian_break_ff63572a,USDJPY,M1
0.0575,23.94,754.85,0.75,-754.85,858.9,3384,ema_cross_05fb5502,USDJPY,M1
0.1778,24.3,284.67,0.28,-283.92,1345.0,1321,ema_cross_12b3b7f5,USDJPY,M1
0.077,10.64,629.88,0.63,-629.88,592.8,2857,ema_cross_13cabf4a,USDJPY,M1
0.02,4.52,693.09,0.69,-693.09,443.4,3140,ema_cross_1426d360,USDJPY,M1
0.1941,23.85,378.19,0.38,-378.19,1720.2,1631,ema_cross_22facf43,USDJPY,M1
0.2076,54.12,322.95,0.32,-322.95,2756.2,1565,ema_cross_484c5bb3,USDJPY,M1
0.2795,17.23,270.24,0.27,-270.24,3456.2,1242,ema_cross_6e70a4c7,USDJPY,M1
0.0249,7.49,479.69,0.48,-479.69,379.1,2162,ema_cross_abdcab58,USDJPY,M1
0.0936,14.49,566.93,0.57,-566.94,777.1,2561,ema_cross_c0bc017b,USDJPY,M1
0.2691,53.43,282.68,0.28,-282.18,3407.4,1372,ema_cross_c2b18d6b,USDJPY,M1
0.101,45.49,232.28,0.23,-232.03,2070.8,965,ema_cross_fed33d85,USDJPY,M1
0.0008,1.07,307.46,0.31,-307.46,1271.0,1404,momentum_12bcd399,USDJPY,M1
0.0459,6.35,2152.14,2.15,-2152.14,399.6,9759,momentum_17419ccb,USDJPY,M1
0.0454,25.75,1006.7,1.01,-1006.7,1250.4,4532,momentum_1a6eb05d,USDJPY,M1
0.0764,30.58,878.88,0.88,-878.88,1029.3,3993,momentum_2e044141,USDJPY,M1
0.1054,34.45,781.11,0.78,-781.11,1190.9,3504,momentum_31690f5b,USDJPY,M1
0.0002,0.27,823.07,0.82,-823.07,383.3,3698,momentum_3c40121e,USDJPY,M1
0.0344,19.29,1097.02,1.1,-1097.02,632.7,5028,momentum_4861fb73,USDJPY,M1
0.0001,0.09,977.0,0.98,-977.0,838.2,4439,momentum_5a6bc941,USDJPY,M1
0.1814,22.47,640.57,0.64,-640.57,1539.9,2773,momentum_9f958dd1,USDJPY,M1
0.242,23.24,256.05,0.26,-255.36,1746.4,1239,momentum_e177235e,USDJPY,M1
0.0032,2.8,540.26,0.54,-540.26,182.5,2460,momentum_ec4b3173,USDJPY,M1
0.1254,44.54,771.06,0.77,-771.06,1885.1,3451,rsi_reversal_01d38f6e,USDJPY,M1
0.1252,47.62,4.87,0.0,-4.79,1388.6,21,rsi_reversal_03ce1c28,USDJPY,M1
0.1232,41.52,764.13,0.76,-764.1,1543.5,3451,rsi_reversal_8af8a375,USDJPY,M1
0.0014,1.53,1365.09,1.37,-1365.07,316.3,6223,rsi_reversal_d63b314d,USDJPY,M1
